Name,Contact_angle_left,Contact_angle_right,Zeta_potential,Size_low,Size_high,CMC,Aggregation_number_low,Aggregation_number_high,HLB,Area_hydrophilic,Area_hydrophobic,Volume_hydrophobic,Volume_hydrophilic,Rotatable_bonds_hydrophilic,Rotatable_bonds_hydrophobic,Longest_chain_length_hydrophilic,Longest_chain_length_hydrophobic,Philic_DeltaG_sol,Philic_Solv_dip,Philic_HOMO,Philic_LUMO,Philic_Most_neg,Phobic_Solv_dip,Double_bonds_hydrophobic,OH_groups_hydrophilic
Polysorbate 20,26.17,22.29,0.8567,4.1,10.8,0.05,70,82,16.7,1468.372,470.668,213.568,986.48,65,11,38,12,-0.039759,7.4832,-0.33181,0.03739,-0.134864286,3.8301,1.00E-10,3
Polysorbate 40,25.83,22.64,-4.21,4.2,5.02,0.024,23,90,15.6,1507.897,575.801,280.16,982.456,65,15,38,16,-0.039759,7.4832,-0.33181,0.03739,-0.134864286,4.1744,1.00E-10,3
Polysorbate 60,29.16,26.85,-13.11,4.48,13,0.021,24,103,14.9,1497.365,619.682,313.432,986.008,65,17,38,18,-0.039759,7.4832,-0.33181,0.03739,-0.134864286,4.1095,1.00E-10,3
Polysorbate 80,18.24,17.15,-23.63,4.36,10.7,0.013,60,133,15,1353.254,625.853,307.848,985.36,65,16,38,18,-0.039759,7.4832,-0.33181,0.03739,-0.134864286,3.8792,1,3
Tween 65,27.47,21.93,-16,,,0.00018,,,10.5,1497.365,1859.046,940.296,986.008,65,51,38,18,-0.039759,7.4832,-0.33181,0.03739,-0.134864286,4.1095,1.00E-10,1
Tween 85,31.52,28.39,-12.7,,,0.00029,,,11,1353.254,1877.559,923.544,985.36,65,48,38,18,-0.039759,7.4832,-0.33181,0.03739,-0.134864286,3.8792,1,1
Span 20,41.11,39.73,-26.37,4.66,8.4,1.133,307,307,8.3,322.993,470.668,213.568,143.248,6,11,6,12,-0.013192,4.2759,-0.37942,0.03613,-0.124091801,3.8301,1.00E-10,3
Span 40,39.27,37.33,-41.53,3.88,7.4,0.174,258,258,6.7,322.993,575.801,280.16,143.248,6,15,6,16,-0.013192,4.2759,-0.37942,0.03613,-0.124091801,4.1744,1.00E-10,3
Span 60,26.25,36.22,-44.47,2.94,6.6,0.06,134,134,4.7,322.993,619.682,313.432,143.248,6,17,6,18,-0.013192,4.2759,-0.37942,0.03613,-0.124091801,4.1095,1.00E-10,3
Span 80,37.26,37.53,-28.4,1.66,3.2,0.001,53,53,4.3,322.993,633.977,307.776,143.248,6,16,6,18,-0.013192,4.2759,-0.37942,0.03613,-0.124091801,3.8792,1,3
Span 65,,,,0.76,0.76,0.05,8,8,2.1,322.993,1859.046,940.296,143.248,6,51,6,18,-0.013192,4.2759,-0.37942,0.03613,-0.124091801,4.1095,1.00E-10,1
Span 85,16.32,12.6,-25.11,0.6,0.6,0.26,7,7,1.8,322.993,1877.559,923.544,143.248,6,48,6,18,-0.013192,4.2759,-0.37942,0.03613,-0.124091801,3.8792,1,1
Octaethylene glycol monodecyl,12.9,12.12,-40.87,,,1,51,120,,724.923,404.455,177.864,356.408,24,9,24,9,-0.026756,1.6665,-0.3665,0.0406,-0.2900093,0.0177,1.00E-10,1
Brij 30,9.78,7.63,1.247,110,110,0.004,,,9.7,426.065,451.637,210.624,188.2,12,11,12,11,-0.018015,0.0188,-0.37111,0.04364,-0.360846772,0.0541,1.00E-10,1
C12E5 ,17.07,18.67,-4.58,2.2,24,0.09,45,63,,519.462,451.637,210.624,230.088,15,11,15,11,-0.022234,1.4739,-0.36936,0.042,-0.333189209,0.0541,1.00E-10,1
C12E6,11.19,11.7,-16.37,6,28,0.09,53,345,,594.342,451.637,210.624,271.848,18,11,18,11,-0.023942,1.6674,-0.36812,0.04123,-0.310689577,0.0541,1.00E-10,1
Brij 35 ,22.53,19.62,-51.27,4.52,15,0.09,40,69,16.9,1358.401,451.637,210.624,987.64,69,11,69,11,0.100214,1.03,-0.36439,0.04038,-0.281821335,0.0541,1.00E-10,1
Octaethylene glycol monotetradecyl ether,,,,2.3,16.9,,160,1740,,359.041,521.315,245.224,149.36,6,13,6,13,-0.026756,1.6665,-0.3665,0.0406,-0.2900093,0.01,1.00E-10,1
SP Brij C2 MBAL,19.82,19.64,-10.47,140,155,0.000067,54,182,5.3,293.681,560.543,278.688,104.88,6,15,6,15,-0.012667,1.816,-0.377,0.05857,-0.055244212,0.0621,1.00E-10,1
C16E8,15.37,17.06,-14.27,2.4,20.2,0.009,150,150,,724.923,560.543,278.688,356.408,24,15,24,15,-0.026756,1.6665,-0.3665,0.0406,-0.2900093,0.0621,1.00E-10,1
Brij 56 ,18.37,14.96,-19.07,140,155,0.002,32,141,15.7,876.62,560.543,278.688,438.664,30,15,30,15,-0.032376,1.1594,-0.3656,0.04043,-0.27422763,0.0621,1.00E-10,1
Brij 58 ,21.31,17.46,-52.53,4.9,16.62,0.08,12,92,15.7,1591.107,560.543,278.688,857.664,60,15,60,15,0.100214,1.03,-0.36439,0.04038,-0.281821335,0.0621,1.00E-10,1
Brij S-10,34.4,35.71,-9.96,,,0.003,33.3,33.3,12.4,802.349,649.129,311.824,440.352,30,17,30,17,-0.032376,1.1594,-0.3656,0.04043,-0.27422763,0.0697,1.00E-10,1
Brij 93,55.01,55.67,-27.37,138,153,24.9,,,4.9,280.368,629.641,305.552,104.232,6,16,6,17,-0.012667,1.816,-0.377,0.05857,-0.055244212,0.1363,1,1
Brij O10,16.29,15.27,-7.36,3.26,3.82,0.94,46.2,116.2,12.4,728.496,629.707,305.842,440.352,30,16,30,17,-0.032376,1.1594,-0.3656,0.04043,-0.27422763,0.1363,1,1
Brij S20 ,16.28,14.82,-52.07,,,0.0071,18.5,111,15.3,1602.185,649.129,311.824,857.872,60,17,60,17,0.100214,1.03,-0.36439,0.04038,-0.281821335,0.0697,1.00E-10,1
Brij 721  ,,,,,,0.0039,,,15.5,1614.307,649.129,311.824,901.6,63,17,63,17,0.100214,1.03,-0.36439,0.04038,-0.281821335,0.0697,1.00E-10,1
Brij 700 ,36.74,34.05,-16.68,3,3.4,0.02,30,61,18.8,4153.359,649.129,311.824,4230.56,300,17,300,17,0.100214,1.03,-0.36439,0.04038,-0.281821335,0.0697,1.00E-10,1
Triton-X-15  ,,,,,,0.0145,,,3.6,211.552,415.044,212.288,62.808,3,4,3,7,-0.009917,1.0201,-0.38522,0.08504,-0.246282995,0.905,1.00E-10,1
Triton-X-35  ,,,,4.38,6.16,0.047,90,213,7.8,370.19,416.511,212.432,146.2,9,4,9,7,-0.015653,1.5613,-0.37365,0.04744,-0.403215899,0.905,1.00E-10,1
Triton-X-45  ,23.52,20.83,-8.61,,,0.1,94,121,10.4,494.265,416.511,212.432,229.784,15,4,15,7,-0.022234,1.4739,-0.36936,0.042,-0.333189209,0.905,1.00E-10,1
Triton-X-100 ,36.75,35.72,12.28,7.6,10,0.26,63,143,14,808.854,410.953,212.432,397.936,27,4,27,7,-0.029799,0.9698,-0.366,0.04049,-0.279182536,0.905,1.00E-10,1
Triton-X-102  ,21.57,16.94,-20.83,,,0.35,,,14.6,1019.532,416.511,212.432,524.344,36,4,36,7,-0.033033,0.1162,-0.36501,0.04038,-0.266162817,0.905,1.00E-10,1
Triton-X-114 ,22.35,19.16,-3.22,64,64,0.168,40,220,12.4,661.614,416.511,212.432,313.984,21,4,21,7,-0.025715,0.5008,-0.3672,0.04082,-0.299704622,0.905,1.00E-10,1
Triton-X-165 ,21.95,18.5,-57.4,7.6,7.6,0.439,46,83,15.8,1251.629,416.511,212.432,690.656,48,4,48,7,0.100214,1.03,-0.36439,0.04038,-0.281821335,0.905,1.00E-10,1
Triton-X-305  (,25.9,22.35,-60.33,,,0.72,26,26,17.3,1618.503,416.511,212.432,1283.432,90,4,90,7,0.100214,1.03,-0.36439,0.04038,-0.281821335,0.905,1.00E-10,1
Triton-X-405  ,18.23,18.26,-60.5,,,0.81,10,11,17.9,2000.685,416.511,212.432,1705.8,120,4,120,7,0.100214,1.03,-0.36439,0.04038,-0.281821335,0.905,1.00E-10,1
Triton-X-705  ,,,,,,1.0413,4,5,18.7,3074.601,416.511,212.432,2968.76,210,4,210,7,0.100214,1.03,-0.36439,0.04038,-0.281821335,0.905,1.00E-10,1
