Name,Class,PC1,PC2,PC3
Polysorbate 20,Non-ionic,0.858375351,-1.269423315,0.29655604
Polysorbate 40,Non-ionic,1.415072265,-0.831739517,0.046705648
Polysorbate 60,Non-ionic,1.700042195,-0.501471769,-0.00226993
Polysorbate 80,Non-ionic,1.623933215,-0.298665725,-0.517104181
Tween 65,Non-ionic,4.508357457,2.941350873,-0.952016207
Tween 85,Non-ionic,4.659836365,3.544008508,-1.031670354
Span 20,Non-ionic,-0.760738802,0.819216311,0.752605103
Span 40,Non-ionic,-0.232792352,1.149176139,0.339742792
Span 60,Non-ionic,-0.017801581,0.974806772,-0.130013525
Span 80,Non-ionic,0.422208011,1.500903061,-0.302341416
Span 65,Non-ionic,2.912012631,4.318840674,-0.682812844
Span 85,Non-ionic,2.84694907,4.226650444,-1.679586488
Octaethylene glycol monodecyl,Non-ionic,-1.231946379,-1.457304309,-0.112750811
Brij 30,Non-ionic,-1.551903874,-0.760577845,-0.212256698
C12E5 ,Non-ionic,-1.258476044,-0.724043095,0.139543046
C12E6,Non-ionic,-1.288663366,-0.945677239,0.042060101
Brij 35 ,Non-ionic,0.968500614,-2.623638795,0.780139725
Octaethylene glycol monotetradecyl ether,Non-ionic,-1.433190718,0.516826613,0.828692212
SP Brij C2 MBAL,Non-ionic,-0.990608823,0.248960274,-0.093571038
C16E8,Non-ionic,-0.607780333,-0.341141827,0.187763195
Brij 56 ,Non-ionic,-0.313805663,-0.620839231,-0.261097968
Brij 58 ,Non-ionic,1.333688463,-2.110702188,0.52427818
Brij S-10,Non-ionic,0.2720439,0.280727374,0.389258909
Brij 93,Non-ionic,0.070638306,2.011331492,0.283540765
Brij O10,Non-ionic,0.090554836,0.214963189,-0.190929882
Brij S20 ,Non-ionic,1.514734629,-1.927908209,0.351278997
Brij 721  ,Non-ionic,1.707563673,-1.410603722,0.772871013
Brij 700 ,Non-ionic,8.817716591,-6.351165147,3.34445827
Triton-X-15  ,Non-ionic,-1.670535871,-0.491681676,0.021794944
Triton-X-35  ,Non-ionic,-1.561080827,-0.633709662,0.100610618
Triton-X-45  ,Non-ionic,-1.475683549,-0.799397848,0.274856986
Triton-X-100 ,Non-ionic,-0.820810138,-0.64308493,0.933759199
Triton-X-102  ,Non-ionic,-0.768433174,-1.501013822,0.328252685
Triton-X-114 ,Non-ionic,-1.26925924,-1.026784756,0.257690615
Triton-X-165 ,Non-ionic,0.139438847,-2.590427909,0.568394954
Triton-X-305  (,Non-ionic,1.409606063,-3.41547422,0.922057225
Triton-X-405  ,Non-ionic,2.225348574,-4.294276802,1.039651112
Triton-X-705  ,Non-ionic,5.026370699,-5.69288928,1.850573983
IGEPAL CA720 ,Non-ionic,-0.817025858,-1.613829052,0.238117118
IGEPAL CO520 ,Non-ionic,-1.132511428,-0.532250564,0.098427743
IGEPAL CO630 ,Non-ionic,-0.63513409,-0.774861454,0.189114352
IGEPAL CO720 ,Non-ionic,-0.607747567,-1.534239638,0.265157804
Myrj S8,Non-ionic,0.435822743,0.795221865,0.307780751
Myrj S20 ,Non-ionic,2.002963821,-1.404709613,0.184666321
Myrj 52 ,Non-ionic,3.928967343,-2.1620639,1.16252839
DDM (N-Dodecyl ?-D-maltoside),Non-ionic,-1.451624292,-1.603968083,-2.144837146
Nonyl B-D-glucopyranoside ,Non-ionic,-1.741092117,-1.001425788,0.135821857
Sucrose monolaurate ,Non-ionic,-0.489247059,-0.464404118,0.036807806
CTAB,Cationic,-1.479197666,2.490106901,4.048415629
CTAC,Cationic,-1.446796561,2.520329249,4.026585694
DTAB,Cationic,-2.113388026,1.306382067,3.512212582
DTAC,Cationic,-2.121537752,1.328715369,3.483522534
TTAC,Cationic,-1.494270717,2.441869122,4.077391708
TTAB,Cationic,-1.912063635,1.782723208,3.729931842
CPC ((1-Hexdecyl)pyridinium chloride monohydrate),Cationic,-1.374912759,2.576579205,4.377470417
DDAB (Di-n-dodecyl)dimethyl ammonium bromide),Cationic,-1.573414524,4.137097716,4.860501937
CHAPS (3-((3-cholamidopropyl) dimethylammonio)-1-propanesulfonate),Zwitterionic,0.181461006,0.660974455,-3.45500231
"DAPS (N-dodecyl-N,N-dimethyl-3-ammonium-1-propane sulfonate)",Zwitterionic,-1.692736854,-0.689006351,-2.697485781
"3-(N,N-Dimethylmyristylammonio)propanesulfonate",Zwitterionic,-1.294043407,-0.201305633,-2.703084859
Sulfobetaine-16 ,Zwitterionic,-1.364321699,-0.328381008,-2.937006831
 Lauryldimethylammonio)acetate,Zwitterionic,-1.80258078,-0.968362182,-3.395863027
TPGS-750-M ,Designer,2.182208244,0.911402685,-0.976541671
TPGS-1000 (DL-alpha-Tocopherolmethoxypolyethyleneglycol 1000 succinate) ,Designer,2.380153221,0.22580502,0.11525061
SPGS-550-M,Designer,0.526854187,-0.139457044,-2.755601345
PTS ,Designer,1.301688336,0.17580759,-3.71348002
PS-750-M,Designer,1.523901018,-0.013386613,-0.703970863
Sodium Octanoate/Sodium caprylate ,Anionic,-2.995106511,-0.99025131,-0.735234661
